range [25137,27202] : 104177726
range [27602,66892] : 964639219
range [55286,65703] : 519931621
range [79661,80592] : 47321684
range [3365,41258] : 895844379
range [22710,24571] : 93393043
range [8615,83921] : 767571029
range [89265,89274] : 473043
range [21396,58675] : 862954812
range [35048,54191] : 957760839
range [77428,81733] : 217483891
range [27687,84801] : 857658699
range [50311,82324] : 605301574
range [84593,85059] : 22557009
range [85177,86919] : 87532502
range [60510,61314] : 39304245
range [57488,73912] : 823060755
range [48968,85148] : 812169625
range [9664,10386] : 36348951
range [48007,85631] : 883939206
range [10545,18457] : 397015322
range [38452,61065] : 130928077
range [57301,61861] : 228470787
range [44852,57782] : 644034054
range [80433,87892] : 370801649
range [71990,76820] : 239886199
range [84043,88536] : 223635033
range [66889,74341] : 373793227
range [806,59417] : 928091110
range [86780,88673] : 93614370
range [15122,78103] : 150014785
range [43810,61637] : 888770579
range [30679,79243] : 429701858
range [31380,43451] : 605371787
range [30247,40315] : 504049432
range [59907,66992] : 355978908
range [78983,83009] : 203386964
range [83808,86260] : 124220718
range [30840,87738] : 846009080
range [30827,42134] : 567040587
range [37074,82814] : 291313439
range [85048,85776] : 37920930
range [63267,65046] : 88686095
range [38619,57062] : 921717009
range [48466,58033] : 477261341
range [21493,69675] : 411319163
range [2345,45544] : 160695043
range [70978,82353] : 569762829
range [34142,59554] : 268895300
range [1861,41436] : 978413250
range [44713,68069] : 166562482
range [45844,81539] : 786832681
range [35227,39358] : 206003503
range [35465,44662] : 460646638
range [34061,78560] : 225774632
range [88860,88915] : 2491379
range [4890,21667] : 837509065
range [5439,79597] : 709769314
range [55716,62026] : 314586710
range [11960,52022] : 3342770
range [35637,70819] : 761363860
range [11945,37899] : 297313301
range [21874,23215] : 67063061
range [80066,88857] : 438209546
range [44599,62002] : 867412716
range [74992,78122] : 155106707
range [3238,69437] : 310186482
range [44218,61430] : 858155801
range [74841,84149] : 465700782
range [61788,83503] : 88001664
range [31644,68181] : 827408655
range [76235,77766] : 76708358
range [55263,69602] : 716934461
range [41816,65654] : 191295010
range [65722,69709] : 200591997
range [30458,79116] : 433403709
range [5066,43348] : 915731980
range [74609,75409] : 39218148
range [59698,85147] : 275556112
range [50447,74911] : 225796247
range [87971,88454] : 24450987
range [8988,58084] : 453044507
range [11945,77669] : 287766448
range [29666,39027] : 466150187
range [70009,78379] : 417573655
range [85382,86763] : 68944105
range [81237,81753] : 26225636
range [27157,59804] : 631664487
range [46893,78056] : 558200030
range [80017,84913] : 244556801
range [39249,42352] : 156357123
range [17536,77399] : 993207515
range [66142,68395] : 113274265
range [76987,80355] : 169900082
range [69616,77978] : 417555137
range [69723,88879] : 957142745
range [49062,57575] : 426057888
range [39716,55076] : 768424024
range [79615,86500] : 344884356
range [49617,80222] : 533851348
range [34867,44205] : 469712405
range [16686,77526] : 41749158
range [20284,56793] : 825483748
range [40474,46730] : 313317775
range [70872,76955] : 302363625
range [5891,22645] : 836978300
range [67345,78851] : 574816283
range [562,48194] : 380975091
range [10107,12286] : 108109821
range [75807,82087] : 318124719
range [57797,64680] : 344559200
range [31402,52712] : 65656499
range [35600,35628] : 1502562
range [75104,79530] : 220688855
range [80122,87737] : 379276777
range [20238,55484] : 763143727
range [81805,85266] : 172244065
range [53466,82698] : 463589783
range [16101,80882] : 240652353
range [51678,75505] : 192726511
range [7905,9676] : 89042922
range [23531,42716] : 962520643
range [75703,81259] : 280704461
range [28410,30863] : 121642335
range [85168,87099] : 96764433
range [9227,22893] : 682472609
range [5824,74755] : 449031125
range [77406,82121] : 239178523
range [27348,27491] : 7441366
range [48340,57897] : 476297728
range [26958,52423] : 273678514
range [64095,72721] : 434849278
range [32499,60839] : 417933747
range [2533,73795] : 562545355
range [11607,12126] : 25900775
range [4653,82601] : 900065089
range [74348,78232] : 193675077
range [48978,84975] : 802594318
range [31977,57326] : 266492689
range [9621,16789] : 359626522
range [75438,76855] : 71302667
range [37905,85756] : 396244855
range [17598,50408] : 638171593
range [71096,79125] : 399943121
range [5948,22976] : 850942016
range [87414,88771] : 67575674
range [72808,76921] : 204509479
range [47354,58497] : 554562945
range [38679,69860] : 560540968
range [27108,39986] : 645485577
range [64009,69735] : 289069376
range [54685,63809] : 454938748
range [42768,85756] : 150680318
range [32090,51209] : 956153458
range [67465,86016] : 930059326
range [76822,87020] : 511049849
range [83952,87490] : 176712819
range [10286,17120] : 343243224
range [6531,50573] : 202521136
range [25769,41380] : 782377442
range [41868,62579] : 33979541
range [51816,53687] : 95034625
range [78297,81247] : 149947229
range [70885,78290] : 368124231
range [58399,60929] : 128654698
range [42049,76940] : 743794479
range [65300,80456] : 760278047
range [66311,86260] : 1079161
range [26541,70738] : 212069654
range [40264,81433] : 60320501
range [84152,89075] : 244811047
range [11525,69848] : 917716929
range [56396,67061] : 534088164
range [83943,87098] : 158188954
range [55160,82259] : 357585501
range [88567,89246] : 33649676
range [21287,88201] : 345642995
range [2222,8051] : 289151042
range [56406,74827] : 923461397
range [84210,89364] : 255916868
range [44087,63452] : 964549816
range [65274,75557] : 514332161
range [65024,73292] : 415694037
range [84314,87728] : 169666581
range [38676,43438] : 239785015
range [10777,65316] : 727499152
range [64590,83113] : 929205001
range [44799,57134] : 614466525
range [13215,35100] : 95445596
range [67205,76111] : 445653035
range [66332,69385] : 153974258
range [27421,48363] : 46801447
range [83747,85613] : 94946127
range [79945,82242] : 117074905
range [62073,72382] : 518628898
range [32363,64435] : 603129495
range [37279,55553] : 914855841
range [6179,31001] : 242800692
range [10308,63492] : 658226675
range [27001,52387] : 269226954
range [4033,62656] : 930324503
range [21276,77445] : 810075129
range [47063,83555] : 825941559
range [85859,86529] : 32916845
range [70886,78673] : 386652721
range [68126,77043] : 446510095
range [28080,77303] : 461701242
range [66559,68634] : 104191050
range [8715,32008] : 165436712
range [85797,87031] : 60539660
range [21415,52010] : 529664802
range [11950,45253] : 667702040
range [67625,82993] : 770224860
range [34286,35625] : 67538017
range [88150,88949] : 40690482
range [87931,88340] : 20265662
range [74776,75429] : 31424774
range [61401,79935] : 929059641
range [42298,55252] : 647075647
range [34549,77724] : 159892258
range [75454,79931] : 225153654
range [28036,60810] : 637668233
range [60709,64129] : 169583293
range [62561,66017] : 173030263
range [75552,81715] : 311215437
range [87368,88053] : 33378593
range [44708,86877] : 108818097
range [6678,10538] : 193853952
range [66911,84826] : 897791742
range [76983,83727] : 337681048
range [65154,66422] : 63428542
range [10505,83806] : 666936210
range [74869,88397] : 675023254
range [41281,76240] : 746681050
range [8498,21221] : 636435386
range [86913,87750] : 40450785
range [50485,55188] : 236871709
range [39435,40362] : 46717668
range [49765,57987] : 409642119
range [84283,87529] : 161796511
range [59831,65779] : 298200132
range [41704,54481] : 638392192
range [624,47416] : 340422682
range [54987,85322] : 517661364
range [29161,62122] : 644690635
range [13344,44324] : 550937297
range [51047,65252] : 710765936
range [26924,69255] : 117385055
range [47012,86861] : 994456319
range [34009,38053] : 201330176
range [1136,66940] : 288907081
range [11036,76631] : 280407406
range [28591,37129] : 424799878
range [3676,13606] : 495936277
range [18287,81868] : 181278225
range [19377,42588] : 161425572
range [60768,67822] : 353939343
range [76056,77659] : 80264139
range [35462,49794] : 714591095
range [40662,80021] : 969120989
range [16051,62387] : 315100944
range [55083,76385] : 64450281
range [80112,87486] : 367640645
range [49554,56679] : 356259018
range [73210,88135] : 745012709
range [24925,30683] : 289457848
range [24894,35125] : 513331814
range [7679,54854] : 360961417
range [52386,82993] : 532787011
range [51320,65701] : 719177125
range [79634,83457] : 191005448
range [19327,79043] : 984763086
range [52708,87452] : 738436435
range [87430,88250] : 39556239
range [37660,81038] : 172564360
range [33190,72494] : 969047590
range [13305,19382] : 304819975
range [77062,84915] : 393539622
range [88126,89065] : 47298237
range [59063,79409] : 20702112
range [33838,36483] : 132367531
range [40463,59990] : 974155266
range [63432,87038] : 183638285
range [12858,14880] : 101907307
range [62159,69403] : 363983636
range [46106,68579] : 121475281
range [16393,86302] : 497818939
range [15320,59674] : 215708329
range [35332,88872] : 676745992
range [79755,82144] : 122134372
range [13982,80345] : 320359543
range [70555,75472] : 244651416
range [86682,88980] : 113183668
range [60394,85622] : 264989507
range [80247,85746] : 275296330
range [64159,65856] : 85939814
range [56490,72020] : 779843128
range [57044,85615] : 432315448
range [17688,33896] : 808404541
range [75820,78230] : 120325390
range [79201,83096] : 196204290
range [36308,45626] : 467087433
range [3181,81137] : 899798192
range [10748,13607] : 143738656
range [74070,78418] : 217338444
range [7151,50765] : 180965172
range [71091,78638] : 375205703
range [58379,77622] : 965901368
range [22927,51522] : 430179476
range [36498,56326] : 991001061
range [80564,85970] : 270682744
range [32822,64423] : 579920154
range [44686,52549] : 392093449
range [55524,77699] : 109167055
range [78410,79738] : 67703286
range [6827,17498] : 536219186
range [67850,70553] : 136634217
range [22593,44146] : 80945744
range [57122,65081] : 397116473
range [29479,39990] : 524945421
range [52104,55740] : 182372639
range [32381,61967] : 479188947
range [9612,14193] : 228853253
range [86389,88050] : 80449360
range [36245,80505] : 214962028
range [85462,86540] : 54437724
range [21061,37221] : 807863593
range [30581,76187] : 280275682
range [56353,73829] : 875061604
range [38109,41152] : 155019418
range [11947,15540] : 180997705
range [70804,87771] : 846789817
range [35746,67166] : 569241071
range [47165,50384] : 159772436
range [58476,77602] : 959503443
range [20980,37593] : 830279395
range [61874,84830] : 150614291
range [43090,83719] : 31459253
range [69407,87412] : 900995659
range [39300,63625] : 214667996
range [25379,63592] : 910340594
range [49186,83201] : 704241849
range [60336,78798] : 924315374
range [72972,84090] : 555700052
range [71301,78502] : 359243361
range [27836,46220] : 920810619
range [72668,82794] : 507509059
range [69841,81290] : 574210405
range [73353,79524] : 309037756
range [69710,83707] : 700663877
range [68408,82607] : 713180123
range [13007,40848] : 394393665
range [48757,86596] : 895557477
range [63303,79097] : 791500454
range [70139,76237] : 304314453
range [20997,51244] : 512161905
range [48746,65210] : 824298337
range [77314,79459] : 107095307
range [17971,45842] : 394369478
range [72404,75048] : 131958512
range [21930,30657] : 438633783
range [28894,59520] : 526926416
range [39602,45562] : 299317265
range [73068,85165] : 605374083
range [26192,63684] : 874087565
range [10167,65816] : 782715254
range [51766,59884] : 405972300
range [58062,88985] : 549097442
range [24215,54820] : 530951622
range [73469,79293] : 291105054
range [5991,17628] : 584099066
range [360,18258] : 894993531
range [30494,30911] : 20778583
range [77147,87189] : 502956510
range [58817,82013] : 166338848
range [77983,87377] : 470650569
range [31944,39606] : 383986793
range [5928,22904] : 848897522
range [6489,41301] : 743675274
range [83406,87815] : 219523663
range [49799,63030] : 661506079
range [40630,74273] : 682564121
range [71594,80912] : 466696404
range [9118,43376] : 714925421
range [8530,81503] : 652808079
range [40903,51008] : 502294725
range [22844,73634] : 541083909
range [67384,75547] : 407970287
range [59298,75657] : 820367972
range [42683,65430] : 135691398
range [81343,84673] : 165585059
range [80933,87994] : 351206982
range [37031,61087] : 202919082
range [30146,37716] : 376750649
range [78069,83067] : 252069156
range [75678,85178] : 476817629
range [72771,80746] : 399976890
range [9221,67632] : 920697667
range [39038,75100] : 805417666
range [82384,87528] : 254766156
range [25010,56179] : 560014366
range [73220,85287] : 605112809
range [32936,57580] : 232733292
range [62609,82203] : 984613693
range [747,81374] : 34723866
range [79653,83394] : 186701598
range [3663,78756] : 754130407
range [61848,73399] : 579147180
range [78326,88018] : 484925850
range [79511,81498] : 101707572
range [37318,57982] : 31803257
range [28036,66673] : 931369148
range [12463,73888] : 72793059
range [39170,68658] : 473862143
range [88653,89305] : 31702837
range [15080,56259] : 59329131
range [20312,70048] : 488639924
range [7417,68163] : 39161792
range [83748,88212] : 221721958
range [54356,63846] : 473522168
range [29107,88300] : 957141971
range [46403,89324] : 144254323
